Date:  10:33; onsdag; februar 07; 2024
Model name: Exercise2
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/mm^2 (MPa))  ,X (mm)  ,Y (mm)  ,Z (mm)
297  ,2.0       ,4.2168  ,47.143  ,0
298  ,2.1       ,4.1783  ,47.092  ,0
299  ,2.2       ,4.1414  ,47.039  ,0
300  ,2.3       ,4.1061  ,46.986  ,0
301  ,2.4       ,4.0723  ,46.932  ,0
302  ,2.5       ,4.04  ,46.876  ,0
303  ,2.6       ,4.0093  ,46.82  ,0
304  ,2.7       ,3.9802  ,46.762  ,0
305  ,2.8       ,3.9526  ,46.703  ,0
306  ,2.8       ,3.9265  ,46.644  ,0
307  ,2.9       ,3.9025  ,46.585  ,0
308  ,3.0       ,3.8815  ,46.528  ,0
309  ,3.1       ,3.862  ,46.472  ,0
310  ,3.1       ,3.8441  ,46.415  ,0
311  ,3.2       ,3.8278  ,46.358  ,0
312  ,3.2       ,3.813  ,46.301  ,0
313  ,3.3       ,3.7998  ,46.243  ,0
314  ,3.3       ,3.7881  ,46.185  ,0
315  ,3.3       ,3.778  ,46.127  ,0
316  ,3.4       ,3.7694  ,46.068  ,0
317  ,3.4       ,3.7624  ,46.009  ,0
318  ,3.4       ,3.757  ,45.95  ,0
319  ,3.4       ,3.7531  ,45.89  ,0
320  ,3.4       ,3.7508  ,45.83  ,0
321  ,2.3       ,3.7087  ,46.735  ,0
322  ,1.8       ,3.7156  ,47.179  ,0
323  ,1.5       ,3.8103  ,47.634  ,0
324  ,3.1       ,3.6563  ,45.858  ,0
325  ,3.0       ,3.6563  ,45.98  ,0
326  ,2.9       ,3.6524  ,46.143  ,0
327  ,2.7       ,3.6629  ,46.373  ,0
328  ,2.9       ,3.5938  ,45.858  ,0
329  ,2.7       ,3.5313  ,45.858  ,0
330  ,2.8       ,3.5613  ,45.95  ,0
331  ,2.5       ,3.515  ,46.139  ,0
332  ,2.5       ,3.4687  ,45.858  ,0
333  ,2.3       ,3.494  ,46.407  ,0
334  ,2.0       ,3.4813  ,46.714  ,0
335  ,2.4       ,3.4063  ,45.858  ,0
336  ,2.5       ,3.4431  ,45.977  ,0
337  ,2.3       ,3.3952  ,46.1  ,0
338  ,1.7       ,3.4575  ,47.223  ,0
339  ,2.3       ,3.3438  ,45.858  ,0
340  ,1.6       ,3.3303  ,47.697  ,0
341  ,2.2       ,3.2813  ,45.858  ,0
342  ,2.2       ,3.3048  ,45.969  ,0
343  ,2.1       ,3.2902  ,46.135  ,0
344  ,2.0       ,3.2927  ,46.317  ,0
345  ,2.1       ,3.2188  ,45.858  ,0
346  ,1.8       ,3.229  ,46.742  ,0
347  ,2.0       ,3.1563  ,45.858  ,0
348  ,2.0       ,3.179  ,45.975  ,0
349  ,1.9       ,3.1527  ,46.159  ,0
350  ,1.9       ,3.0938  ,45.858  ,0
351  ,1.8       ,3.1083  ,46.358  ,0
352  ,1.6       ,3.1794  ,47.204  ,0
353  ,1.8       ,3.0313  ,45.858  ,0
354  ,1.8       ,3.0495  ,45.979  ,0
355  ,1.8       ,3.0056  ,46.158  ,0
356  ,1.8       ,2.9688  ,45.858  ,0
357  ,1.7       ,3.011  ,46.579  ,0
358  ,1.5       ,2.9988  ,47.657  ,0
359  ,1.7       ,2.9063  ,45.858  ,0
360  ,1.7       ,2.9196  ,45.978  ,0
361  ,1.7       ,2.8838  ,46.132  ,0
362  ,1.7       ,2.9253  ,46.31  ,0
363  ,1.6       ,2.8438  ,45.858  ,0
364  ,1.6       ,2.7813  ,45.858  ,0
365  ,1.6       ,2.7819  ,46.003  ,0
366  ,1.6       ,2.8033  ,46.203  ,0
367  ,1.5       ,2.7803  ,47.165  ,0
368  ,1.5       ,2.7188  ,45.858  ,0
369  ,1.6       ,2.7835  ,46.398  ,0
370  ,1.5       ,2.7753  ,46.705  ,0
371  ,1.5       ,2.6563  ,45.858  ,0
372  ,1.5       ,2.6423  ,45.981  ,0
373  ,1.5       ,2.6848  ,46.185  ,0
374  ,1.5       ,2.5938  ,45.858  ,0
375  ,1.5       ,2.5656  ,47.656  ,0
376  ,1.4       ,2.5313  ,45.858  ,0
377  ,1.4       ,2.5169  ,45.978  ,0
378  ,1.4       ,2.5659  ,46.141  ,0
379  ,1.5       ,2.5822  ,46.398  ,0
380  ,1.4       ,2.4688  ,45.858  ,0
381  ,1.4       ,2.5187  ,46.77  ,0
382  ,1.4       ,2.4028  ,47.194  ,0
383  ,1.4       ,2.4063  ,45.858  ,0
384  ,1.4       ,2.3901  ,45.982  ,0
385  ,1.4       ,2.4479  ,46.182  ,0
386  ,1.3       ,2.3438  ,45.858  ,0
387  ,1.4       ,2.3724  ,46.437  ,0
388  ,1.3       ,2.2813  ,45.858  ,0
389  ,1.3       ,2.2603  ,45.983  ,0
390  ,1.3       ,2.3005  ,46.186  ,0
391  ,1.3       ,2.2188  ,45.858  ,0
392  ,1.3       ,2.2222  ,46.731  ,0
393  ,1.4       ,2.2016  ,47.603  ,0
394  ,1.3       ,2.1563  ,45.858  ,0
395  ,1.3       ,2.1346  ,45.977  ,0
396  ,1.3       ,2.1581  ,46.174  ,0
397  ,1.3       ,2.2111  ,46.382  ,0
398  ,1.4       ,2.0762  ,47.17  ,0
399  ,1.2       ,2.0938  ,45.858  ,0
400  ,1.2       ,2.0312  ,45.858  ,0
401  ,1.2       ,2.0123  ,45.976  ,0
402  ,1.2       ,2.0487  ,46.137  ,0
403  ,1.2       ,1.9687  ,45.858  ,0
404  ,1.3       ,2.0409  ,46.392  ,0
